seasonsID,seasons,GPM,OPM,NPM,ROE-Q,ROA-Q,RGR-Q,RGR-Y,TAGR-Q,TAGR-Y,LTDR,DR,SEQ,CR,QR,CURR,ICR,ART,IT,TAT,DER,ARD,ITD,OCD,OCF,ICF,FCF,CAPEX,FCFREE,NCF
1,2024Q3,57.83,47.49,42.79,8.29,5.35,12.8,38.95,3.06,12.42,15.18,34.77,65.23,174.6,223.8,256.7,146.8,13.14,4.53,0.5,53.3,27.27,79.65,106.92,391992467.0,-195509921.0,-83638287.0,-198992229.0,193000238.0,112844259.0
2,2024Q2,53.17,42.55,36.77,6.62,4.21,13.64,40.07,3.36,16.17,16.29,36.14,63.86,171.5,215.6,247.1,117.1,12.99,4.68,0.46,56.6,27.52,76.92,104.44,377668210.0,-197607330.0,-90244583.0,-197901488.0,179766722.0,89816297.0
3,2024Q1,53.07,42.02,38.0,6.3,3.98,-5.26,16.52,4.62,14.71,16.68,36.67,63.33,165.5,207.1,239.0,99.78,11.73,4.29,0.42,57.89,30.72,84.11,114.83,436311108.0,-159806991.0,-71685617.0,-181121318.0,255189790.0,204818500.0
4,2023Q4,53.04,41.6,38.1,6.95,4.33,14.41,0.0,0.87,11.43,16.6,37.04,62.96,160.4,206.8,240.2,96.35,11.78,4.58,0.45,58.83,30.51,78.26,108.77,394829347.0,-132319502.0,-75367133.0,-143372124.0,251457223.0,187142712.0
5,2023Q3,54.26,41.71,38.56,6.41,3.96,13.7,-10.83,6.51,18.12,17.09,38.5,61.5,135.2,182.9,214.7,78.75,10.5,4.03,0.41,62.61,34.09,89.11,123.2,294645276.0,-242243223.0,-38451204.0,-216177778.0,78467498.0,13950849.0
6,2023Q2,54.11,42.0,37.79,5.77,3.56,-5.46,-9.98,2.05,18.49,17.62,37.75,62.25,157.5,207.6,241.7,72.44,11.26,3.92,0.38,60.65,31.69,91.84,123.53,167247979.0,-259326076.0,-26588885.0,-241990429.0,-74742450.0,-118666982.0
7,2023Q1,56.33,45.46,40.69,6.84,4.13,-18.69,3.58,1.63,26.38,16.94,38.7,61.3,158.7,199.0,228.6,83.42,10.72,4.06,0.41,63.14,33.58,88.24,121.82,385244745.0,-272231795.0,-64487030.0,-300730596.0,84514149.0,48525920.0
8,2022Q4,62.22,51.96,47.3,10.36,6.16,2.02,42.75,6.92,33.26,16.9,40.37,59.63,142.2,189.9,217.4,101.4,10.15,4.3,0.52,67.7,35.43,83.33,118.76,486881904.0,-342532013.0,-69831545.0,-330256637.0,156625267.0,74518346.0
9,2022Q3,60.43,50.61,45.82,10.68,6.25,14.79,47.86,6.84,39.34,18.21,40.73,59.27,160.5,218.0,249.5,94.97,10.09,4.45,0.55,68.71,35.43,81.08,116.51,412698167.0,-284390325.0,-130406753.0,-265843866.0,146854301.0,-2098911.0
10,2022Q2,59.06,49.07,44.4,9.82,5.69,8.77,43.53,8.85,40.52,17.42,42.23,57.77,148.3,195.2,225.5,92.59,9.75,4.19,0.51,73.11,36.73,85.71,122.44,338849429.0,-275932106.0,19080454.0,-217453105.0,121396324.0,81997777.0
