"seasons","PBTFC","PBTFT","DE","AE","IE","II","PE","SOPOA","GODAR","GODOI","GODOE","RSL","UFEL","OI","TIAE","IIFAH","IIAR","IIARR","IIORR","III","IIOCA","IIOFA","TCIA","IIAP","IIAPR","IIP","IIOCL","IIAPL","IIOOL","TCIL","TCIAA","TA","NCGFO","ITR","NCGFO","AOFA","PFDOF","AOFA","PFROF","AOFAM","PFDOF","AOAE","PFDOA","IIRD","DIRD","AOIA","DIR","IIOA","IR","NCGFI","IIB","PFIOC","ROB","IIGDR","DIGDR","EOESO","IP","CII","NCGFF","EOERC","IICAC","CACEA","CACEA","CACEI","DI","ILOFA","ILOA","PFDOE","PFDOS","DILR","IIOFA","DR","OIA","PFB","DILLP","USG","POCD","OFA","OCACE","TIAE","NIIDB","DIB","PFDOH","IIOOA","CRFFA","ROCB","NLOFA","LODOI","AOFAA","PFDOF","PFROF","DOHFL","PFDOI","CRFFA","PFDOH","AOFAM","ECLAF","ROILO","NCIFA","DOHFL","ROLP","IINP","DINP","AFIII","IIOP","PFDOS","COTSR","AOFAM"
("201401","53301842","53301842","40985942","636435","796580","-613699","0","-955380","-497","-44745","0","-21017","2665824","2283","43451726","233713","-2124198","-267262","4415","-5986376","615697","-28952","-7552963","722298","-358406","2359196","-150758","-12724","3279960","5839566","-1713397","41738329","95040171","-179230","94860941","-5181","62843","-1396723","800000","-3782","28533","-114905317","55255","-7869","16506","-1178194","78060","0","596277","-115859592","8819028","0","0","3744","-1443","22303","-863834","-29574","7950224","2050275","-10998152","242695447","231697295","231697295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"),
("201402","127399962","127399962","86338443","1263048","1598030","-1292325","0","-2003006","-15325","-186714","-2028643","-16648","1646248","509923","85414938","-82244","-14774504","-171024","13258","-13459372","70323","-389931","-28793494","5331172","-6675","113564","2391298","-383","7362054","15191030","-13602464","71812474","199212436","-22602632","176609804","-91592","473520","-1396723","2900000","-3773","62445","-188233322","114987","-25460","59041","-1204154","0","0","1248110","-182354151","19220278","0","0","10374","-3742","33487","-889467","-45527","18296977","-194504","12358126","242695447","255053573","255053573","-637957","0","239864","3471883","0","161900","0","629843","-520856","0","-28426","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"),
("201403","212781154","212781154","141919819","1914239","2414084","-1974366","0","-3039533","-13482","-326727","-2028643","0","1200859","478469","140303820","678501","-42349537","-241059","4897","-27842096","137831","-2244906","-71856369","5726261","-397779","73286","10829466","22936","220924","16475094","-55381275","84922545","297703699","-29848815","267854884","-91405","663433","-1396723","3200000","-3765","68919","-236115030","163250","-49868","73851","-2268872","0","0","1874722","-226979290","20610319","0","0","13213","-4981","33487","-2743513","-58571","-59964323","2277600","-16811129","242695447","225884318","225884318","-644241","176920","239864","3471883","0","83840","0","3867331","-520856","0","-28426","-13442","-77785851","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"),
("201404","302097546","302097546","197645186","2606349","3236345","-2730674","0","-3949674","-14518","-362405","-2028643","-28556","3615493","487965","199012943","342853","-43090068","-26405","-11766","-28871597","-744868","-2612158","-75014009","6634198","-194866","2836910","10713628","41461","5314019","25345350","-49668659","149344284","451441830","-29918099","421523731","-91909","689420","-5882316","3200000","-23151","87501","-288540028","200263","-57988","2296872","-3859486","0","0","2578663","-282420557","18563525","0","0","30142823","-7704","47055","-3192971","-66735","-32328284","9060170","115835060","242695447","358530507","358449029","-649733","211477","974331","3471883","0","161900","0","3868675","-520856","0","-28426","0","-77785851","0","81478","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"),
("201501","88258980","88258980","54706227","771769","793942","-881782","0","-1134649","4081","-45204","0","0","-1054551","10208","0","-526938","16205075","-279066","15717","1738305","-32060","-425720","16695313","-2573738","118123","-2314512","-2624112","0","5383645","-2024724","14670589","67860177","156119157","-118496","156000661","0","36021","-9372767","800000","-31533","9125","-48875682","30161","-189442","101714","-1151372","0","0","874723","-57168005","0","0","0","176072","-174920","30189","-861616","-179","-18171589","-1779163","78881904","358449029","437330933","437412411","0","0","0","0","0","0","0","0","601047","0","0","19547","0","0","-81478","53189588","-14130","-17341135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"),
("201502","186390663","186390663","108544796","1556307","1577343","-1817825","0","-1950398","50368","-17712964","-2305323","0","-2014106","438114","0","428017","14569490","-431752","17984","59374","731724","499150","15873987","-1587537","-164145","-1844746","-1689541","0","10782136","5514132","21388119","107195565","293586228","-26518415","267067813","-3628","39269616","-11766723","9100000","-87321","86756","-102689656","30462","-218253","161583","-1589831","0","0","1764337","-61278131","-30334110","0","0","454190","-443769","33891","-1212515","-42719","-31574130","-3850952","170364600","358449029","528813629","528895107","-608707","0","31305","3962848","0","0","0","595980","105699","0","-29098","18536","0","0","-81478","85807446","17965","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"),
("201503","269785282","269785282","163884425","2365320","2370284","-2875858","0","-2876252","49503","-21564139","-2305323","-735","2492659","7487","0","-213641","15780788","-198053","51115","1271757","925665","1049004","18666635","-3106992","-363369","-540919","52737","0","-1947397","-5862191","12804444","156243093","426028375","-40821123","385207252","-3628","53990941","-19301111","13900000","-87970","357993","-172993344","70433","-267994","227253","-2657499","0","0","2606926","-116065652","-2628330","0","0","557639","-552993","33891","-2704853","-42719","-122049944","10109235","157200891","358449029","515649920","515731398","-616675","132015","2375938","3962848","0","0","0","4023801","105699","0","-29098","0","-116683481","0","-81478","143438649","43749","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"),
("201504","350428911","350428911","219303369","3202200","3190331","-4129316","0","-4132128","-433559","-22157929","-2507707","-15126","2563439","147933","0","-228560","26630123","-192767","53607","-655249","263384","720301","26590839","-2693358","-369134","-382774","-2833292","0","2860250","-3365768","23225071","220393884","570822795","-40943357","529879438","-13392330","57493051","-28181915","16800000","-2586169","368778","-257516835","816852","-404458","348434","-4283870","398185","0","3641920","-217245837","3138680","0","0","754873","-742458","33891","-3156218","-50218","-116734029","8258851","204158423","358449029","562607452","562688930","-621513","154721","2604098","5171962","0","0","0","4023801","54098","0","-29098","0","-116683481","0","-81478","197168813","52540","0","2659","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"),
("201601","72255899","72255899","54950729","896332","850580","-1332589","0","-840895","-8235","-3552","0","0","-1293976","1245","0","-685378","-12473495","-178096","-15991","9809950","837838","-3129147","-5834319","3728","-7283","-64147","-2361070","0","4436180","1996837","-3837482","49415046","121670945","-142092","121528853","-11171713","2943420","-12439373","3000000","-187378","14381","-38141373","12470","-55609","47608","-1003705","102433","0","1541119","-55347367","0","0","0","200080","-202243","0","-689803","0","-4806832","-6079266","55295388","562688930","617984318","617984318","0","0","0","0","0","0","0","0","0","0","0","32889","0","0","0","53252528","-10571","-4114866","-9647","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"),
("201602","165662290","165662290","109352892","1769157","1672005","-2987896","0","-1733161","-6828","-109678","259960","0","308122","36946","0","-105504","-29118721","81512","-19200","6346456","269691","-3053635","-27202684","3446305","-85240","-642887","-438249","0","9406925","11695494","-15507190","92987640","258649930","-30444686","228205244","-28802391","8070785","-23706522","4700000","-218762","20009","-111727052","26517","-59844","63470","-1783656","706718","-805318","3310985","-150053641","0","0","-3700","498025","-485721","0","-1289308","-509","-12909877","-5571354","59670372","562688930","622359302","622359302","-137459","30872","0","0","0","0","0","118890","0","0","0","39898","0","0","0","108494830","8640","-157064","-9534","-1603283","42064","-11471600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"),
