"seasons","EDFO","GLCFH","RDBP","ITNR","ITR","UVGD","UVGE","GLH","GLHNR","UVGA","NOG","OI","II","SOCN","TSOC","NSPL","SOCP","SE","RDE","ADB","AE","NPCO","ITOC","NFC","NR","NIOE","OCI","BEPS","RI","ONPL","OCIC","TNIE","TOE","DEPS","NSR","NCINPL","NCICI","RSG","TIT","USG","NPLP","TCIP","OPL","TOC","TOR","GP","NGP","PLBT","NPCO"
("201401","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-415445.0","6983.0","613699.0","0.0","0.0","-4747.0","955380.0","0.0","1152702.0","12066622.0","0.0","4655671.0","3.7","-2956.0","796580.0","0.0","-2741.0","2414145.0","1.85","0.0","47870745.0","50283666.0","779482.0","17874995.0","1.85","0.0","-24967.0","-23743.0","21017.0","5456064.0","0.0","47845778.0","50259923.0","52522360.0","77836093.0","148215172.0","70379079.0","70400096.0","53301842.0","47845778.0"),
("201402","-220761.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-446601.0","1828425.0","1930282.0","0.0","0.0","-6021.0","2003006.0","0.0","2387523.0","25675692.0","0.0","10063535.0","8.3","11123.0","1598030.0","0.0","-229992.0","-684506.0","4.15","0.0","107573029.0","106888320.0","4163683.0","38126750.0","4.15","0.0","-67394.0","-67191.0","16648.0","19894327.0","0.0","107505635.0","106821129.0","123236279.0","169659283.0","331235656.0","161576373.0","161593021.0","127399962.0","107505635.0"),
("201403","3190117.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-438481.0","1868835.0","2618607.0","0.0","0.0","-42040.0","3039533.0","0.0","3710704.0","40881706.0","0.0","14675420.0","0.0","13745.0","2414084.0","0.0","-235292.0","2695851.0","7.09","0.0","183908266.0","186603451.0","5112891.0","59267830.0","7.09","0.0","-98025.0","-97359.0","13442.0","28970913.0","0.0","183810241.0","186506092.0","207668263.0","273127447.0","540285390.0","267157943.0","267171385.0","212781154.0","183810241.0"),
("201404","11771129.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-36559.0","2113517.0","3380407.0","0.0","0.0","-149907.0","3949674.0","0.0","5087112.0","56823732.0","290416.0","18932100.0","0.0","40915.0","3236345.0","0.0","-1001138.0","11834164.0","10.18","0.0","263898794.0","275717141.0","6207253.0","80842944.0","10.18","0.0","-117925.0","-102108.0","28556.0","38316677.0","0.0","263780869.0","275615033.0","295890293.0","385100646.0","762806465.0","377705819.0","377734375.0","302097546.0","263780869.0"),
("201501","-2279138.0","0.0","0.0","0.0","4793.0","0.0","0.0","0.0","0.0","-204815.0","410368.0","881782.0","0.0","0.0","0.0","1134649.0","843163.0","1390996.0","16781463.0","0.0","4366053.0","0.0","0.0","793942.0","0.0","-264629.0","-1645583.0","3.05","0.0","78989911.0","77351478.0","1632857.0","22538512.0","3.05","0.0","-6003.0","-13153.0","-19547.0","9275072.0","0.0","78983908.0","77338325.0","86626123.0","112585333.0","222034144.0","109448811.0","109429264.0","88258980.0","78983908.0"),
("201502","-5647926.0","0.0","0.0","0.0","18104.0","0.0","0.0","0.0","0.0","-16832744.0","19895895.0","2426532.0","0.0","0.0","0.0","1950398.0","593810.0","2870415.0","33393676.0","0.0","8829633.0","12.22","0.0","1577343.0","0.0","-345315.0","-21904964.0","6.11","0.0","158407425.0","136512533.0","22695482.0","45093724.0","6.11","427473896.0","-10613.0","-20685.0","-18536.0","27993851.0","0.0","158396812.0","136491848.0","163695181.0","218321140.0","427473896.0","209152756.0","209134220.0","186390663.0","158396812.0"),
("201503","7597640.0","0.0","0.0","0.0","2551.0","0.0","0.0","0.0","0.0","-20455403.0","23702676.0","3492533.0","0.0","0.0","0.0","2876252.0","239665.0","4247546.0","49880041.0","0.0","13126301.0","18.02","0.0","2370284.0","0.0","-2131983.0","-12620649.0","9.01","0.0","233736649.0","221125549.0","27701177.0","67253888.0","9.01","639978805.0","-22537.0","-32086.0","735.0","36071170.0","0.0","233714112.0","221093463.0","242084105.0","328509564.0","639978805.0","311469241.0","311469976.0","269785282.0","233714112.0"),
("201504","6604768.0","0.0","-827703.0","-99326.0","15991.0","0.0","0.0","0.0","0.0","-20489015.0","24688510.0","4750829.0","0.0","-2546.0","0.0","4132128.0","-83021.0","5664684.0","65544579.0","0.0","17257237.0","23.64","0.0","3190331.0","0.0","-1880618.0","-14714182.0","11.82","0.0","306573837.0","291867757.0","30381136.0","88466500.0","11.82","843497368.0","-17670.0","-25772.0","15126.0","43872744.0","0.0","306556167.0","291841985.0","320047775.0","433117601.0","843497368.0","410379767.0","410394893.0","350428911.0","306556167.0"),
("201601","-6593053.0","0.0","0.0","0.0","-17440.0","0.0","0.0","0.0","0.0","51294.0","465681.0","1332589.0","0.0","0.0","0.0","840895.0","26157.0","1415099.0","15618963.0","0.0","3844935.0","0.0","0.0","850580.0","0.0","8733.0","-6498162.0","2.5","0.0","64781493.0","58284228.0","1788585.0","20878997.0","2.5","0.0","11104.0","10207.0","0.0","7463302.0","32889.0","64792597.0","58294435.0","70467314.0","112124894.0","203495361.0","91370467.0","91337578.0","72255899.0","64792597.0"),
("201602","-6946520.0","0.0","0.0","0.0","-27640.0","0.0","0.0","0.0","0.0","21276.0","687464.0","3125355.0","0.0","0.0","0.0","1733161.0","8629.0","2852001.0","32522503.0","0.0","8512133.0","0.0","0.0","1672005.0","0.0","3138.0","-6888975.0","5.29","0.0","137287814.0","130401775.0","3873975.0","43886637.0","5.29","0.0","33062.0","30126.0","0.0","28341414.0","39898.0","137320876.0","130431901.0","161788315.0","219593495.0","425305207.0","205711712.0","205671814.0","165662290.0","137320876.0"),
