seasons,季度
201401,2014年第一季
201402,2014年第二季
201403,2014年第三季
201404,2014年第四季
201501,2015年第一季
201502,2015年第二季
201503,2015年第三季
201504,2015年第四季
201601,2016年第一季
201602,2016年第二季
201603,2016年第三季
201604,2016年第四季
201701,2017年第一季
201702,2017年第二季
201703,2017年第三季
201704,2017年第四季
201801,2018年第一季
201802,2018年第二季
201803,2018年第三季
201804,2018年第四季
201901,2019年第一季
201902,2019年第二季
201903,2019年第三季
201904,2019年第四季
202001,2020年第一季
202002,2020年第二季
202003,2020年第三季
202004,2020年第四季
202101,2021年第一季
202102,2021年第二季
202103,2021年第三季
202104,2021年第四季
202201,2022年第一季
202202,2022年第二季
202203,2022年第三季
202204,2022年第四季
202301,2023年第一季
202302,2023年第二季
202303,2023年第三季
202304,2023年第四季
202401,2024年第一季
202402,2024年第二季
202403,2024年第三季
