sesaons,20141,20142,20143,20144,20151,20152,20153,20154,20161,20162,20163,20164,20171,20172,20173,20174,20181,20182,20183,20184,20191,20192,20193,20194,20201,20202,20203,20204,20211,20212,20213,20214,20221,20222,20223,20224,20231,20232,20233,20234,20241,20242,20243
應收帳款收現天數,44.33,39.65,43.27,46.39,43.48,43.48,41.67,40.36,40.36,42.25,41.67,44.33,45.92,46.15,40.91,39.13,41.67,37.82,37.66,40.18,48.65,41.67,40.18,40.54,41.47,42.86,39.47,38.46,38.96,41.86,39.65,39.65,37.66,36.73,35.43,35.43,33.58,31.69,34.09,30.51,30.72,27.52,27.27
存貨週轉天數,46.88,46.39,50.56,52.94,52.33,55.56,53.57,56.96,50,49.45,40.18,36.89,39.65,47.62,48.13,47.87,58.06,68.18,67.16,62.07,74.38,70.87,60,51.14,48.39,50.56,52.94,66.67,76.27,78.95,78.95,81.08,81.08,85.71,81.08,83.33,88.24,91.84,89.11,78.26,84.11,76.92,79.65
營運週轉天數,91.21,86.04,93.83,99.33,95.81,99.04,95.24,97.32,90.36,91.7,81.85,81.22,85.57,93.77,89.04,87,99.73,106,104.82,102.25,123.03,112.54,100.18,91.68,89.86,93.42,92.41,105.13,115.23,120.81,118.6,120.73,118.74,122.44,116.51,118.76,121.82,123.53,123.2,108.77,114.83,104.44,106.92
營業現金流*,"94,860,941","81,748,863","91,245,080","153,668,847","156,000,661","111,067,152","118,139,439","144,672,186","121,528,853","106,676,391","126,409,559","185,219,789","161,008,044","103,400,380","116,783,434","204,126,309","160,725,918","129,773,360","94,082,482","189,372,548","152,670,278","117,761,028","141,753,021","202,954,417","203,029,442","170,334,959","190,171,227","259,130,584","227,815,706","187,439,492","318,706,207","378,199,317","372,169,688","338,849,429","412,698,167","486,881,904","385,244,745","167,247,979","294,645,276","394,829,347","436,311,108","377,668,210","391,992,467"
投資現金流*,"-115,859,592","-66,494,559","-44,625,139","-55,441,267","-57,168,005","-4,110,126","-54,787,521","-101,180,185","-55,347,367","-94,706,274","-106,884,722","-138,501,317","-109,230,259","-98,219,755","-65,662,683","-63,052,206","-73,459,190","-60,075,599","-63,473,163","-117,260,956","-64,188,473","-114,717,951","-108,290,117","-171,605,106","-188,993,268","-129,750,164","-96,079,669","-90,958,613","-244,251,414","-169,750,998","-177,020,159","-245,343,292","-288,073,791","-275,932,106","-284,390,325","-342,532,013","-272,231,795","-259,326,076","-242,243,223","-132,319,502","-159,806,991","-197,607,330","-195,509,921"
融資現金流*,"7,950,224","10,346,753","-78,261,300","27,636,039","-18,171,589","-13,402,541","-90,475,814","5,315,915","-4,806,832","-8,103,045","-169,191,709","24,301,389","-11,909,919","-638,888","-212,792,956","9,644,134","-57,627,226","-29,346,300","-172,434,686","14,283,421","-22,412,645","-930,502","-229,112,243","-17,182,776","-40,757,411","5,912,053","47,434,066","-101,203,795","14,618,457","75,030,682","-35,324,719","82,284,018","-19,086,188","19,080,454","-130,406,753","-69,831,545","-64,487,030","-26,588,885","-38,451,204","-75,367,133","-71,685,617","-90,244,583","-83,638,287"
資本支出*,"-114,905,317","-73,328,005","-47,881,708","-52,424,998","-48,875,682","-53,813,974","-70,303,688","-84,523,491","-38,141,373","-73,585,679","-103,775,451","-112,542,767","-102,505,595","-105,188,462","-61,714,051","-58,985,109","-71,980,773","-59,696,676","-69,819,583","-113,908,111","-72,432,829","-115,058,179","-97,212,237","-170,009,539","-192,063,846","-126,698,477","-99,173,345","-88,203,309","-248,028,725","-166,971,104","-188,110,486","-235,257,476","-262,067,090","-217,453,105","-265,843,866","-330,256,637","-300,730,596","-241,990,429","-216,177,778","-143,372,124","-181,121,318","-197,901,488","-198,992,229"
自由現金流*,"-20,044,376","8,420,858","43,363,372","101,243,849","107,124,979","57,253,178","47,835,751","60,148,695","83,387,480","33,090,712","22,634,108","72,677,022","58,502,449","-1,788,082","55,069,383","145,141,200","88,745,145","70,076,684","24,262,899","75,464,437","80,237,449","2,702,849","44,540,784","32,944,878","10,965,596","43,636,482","90,997,882","170,927,275","-20,213,019","20,468,388","130,595,721","142,941,841","110,102,598","121,396,324","146,854,301","156,625,267","84,514,149","-74,742,450","78,467,498","251,457,223","255,189,790","179,766,722","193,000,238"
淨現金流*,"-13,048,427","25,601,057","-31,641,359","125,863,619","80,661,067","93,554,485","-27,123,896","48,807,916","61,374,654","3,867,072","-149,666,872","71,019,861","39,867,866","4,541,737","-161,672,205","150,718,237","29,639,502","40,351,461","-141,825,367","86,395,013","66,069,160","2,112,575","-195,649,339","14,166,535","-26,721,237","46,496,848","141,525,624","66,968,176","-1,817,251","92,719,176","106,361,329","215,140,043","65,009,709","81,997,777","-2,098,911","74,518,346","48,525,920","-118,666,982","13,950,849","187,142,712","204,818,500","89,816,297","112,844,259"
