seasons,NCI,BDI/BRE,ORR,CLO,CLA,OBOL,OBOA,OFA,ONFA,IR,ICR,BDE,FA,SSE,SID,SOD,INV,RSS,TSR,APR,AP,ALP,AR,ARR,ARC,ARPL,TP/TR,NICFI,DE,AE,IP,IRR,DR,BOCE,EOCE,NP,CINC,IA,NICFO,TNCL,TNCA_L,TNCA,CFI/CO,CCD,STL,LP,CINP,DI,LDPFA,NICFF,AT,PL,HDFA,HDIA,FIAIL,LTL,NFAIL
2024Q3,1457.0,-52.5,0.17,428.3,-47.01,-307.2,0.11,26.79,0.0,-226.0,26.36,0.17,-2069.0,0.0,-0.16,0.058,-203.9,0.0,0.0,5.02,63.71,0.0,-404.5,6.86,0.0,0.0,-933.0,-1955.0,1659.0,23.13,-43.85,213.6,24.04,17991.0,18868.0,3842.0,876.5,-7.66,3920.0,189.9,-446.0,-635.8,4853.0,-907.6,0.0,-7.4,3842.0,-0.41,6.99,-836.4,1011.0,0.0,-0.24,0.0,0.0,164.6,0.0
2024Q2,1489.0,114.9,-0.12,-22.44,49.94,204.5,-1.37,-48.1,0.0,-209.8,26.38,0.12,-2055.0,0.0,-0.009,17.26,-53.67,0.0,-30.89,-0.012,63.38,0.0,-76.2,-6.1,0.0,0.0,-881.0,-1976.0,1629.0,22.37,-66.41,192.0,8.05,16982.0,17991.0,3063.0,1009.0,-29.7,3777.0,245.5,105.6,-139.9,4658.0,-907.6,0.0,-6.98,3063.0,-2.03,9.73,-902.4,1595.0,0.0,0.44,0.0,0.0,-5.43,11.5
2024Q1,1452.0,227.8,-0.074,252.6,-14.32,208.8,-23.88,-7.97,0.0,-193.6,26.98,0.066,-1810.0,0.01,-0.17,10.98,-161.3,0.0,0.0,-3.81,6.98,0.0,-1.86,1.45,0.0,0.0,-10.51,-1598.0,1567.0,23.26,-17.79,174.1,0.9,14654.0,16982.0,2665.0,2328.0,-20.42,4363.0,449.0,256.2,-192.9,4374.0,-778.0,0.0,-7.75,2665.0,-0.72,2.94,-716.9,1708.0,0.0,0.086,0.0,0.0,58.66,0.0
2023Q4,1305.0,97.9,0.1,-55.41,-66.79,-4.38,-3.42,16.16,0.0,-174.1,29.19,-0.054,-1698.0,0.0,-1.5,10.94,110.9,0.0,0.0,-0.55,35.76,0.0,211.5,-2.68,0.0,0.0,-375.7,-1323.0,1483.0,23.7,-59.95,148.7,0.57,13118.0,14654.0,2783.0,1536.0,-21.3,3948.0,-24.4,235.8,260.2,4324.0,-778.0,0.0,-7.22,2783.0,-0.76,0.34,-753.7,1541.0,0.0,0.015,0.0,0.0,-5.12,0.0
2023Q3,1372.0,97.84,0.16,122.8,-23.06,-374.0,-3.79,-10.26,0.0,-156.0,31.12,0.21,-2265.0,0.0,-0.023,-24.11,-277.6,0.0,0.0,4.43,43.57,0.0,-323.0,5.06,0.0,0.0,-14.74,-2422.0,1449.0,23.53,-39.43,143.9,25.69,12767.0,13118.0,2419.0,350.8,-11.66,2946.0,-203.2,-830.2,-627.1,2961.0,-713.1,0.0,-7.32,2419.0,-0.78,0.017,-384.5,541.8,0.0,0.68,0.0,0.0,-4.58,0.0
2023Q2,1141.0,406.6,-0.22,-4.63,0.14,185.6,0.0,4.75,0.0,-136.7,30.05,0.14,-2504.0,0.0,0.17,-14.93,-182.6,0.0,0.0,0.99,14.92,0.0,-424.5,-5.3,0.0,0.0,-1201.0,-2593.0,1216.0,22.96,-55.5,143.4,8.33,13852.0,12767.0,2147.0,-1085.0,-19.34,1672.0,196.9,-414.0,-610.9,2874.0,-713.1,0.0,-6.92,2147.0,-2.38,2.19,-265.9,727.2,0.0,-0.22,0.0,0.0,-4.58,0.0
2023Q1,976.6,72.8,-0.076,-539.7,-35.6,215.8,0.0,8.13,0.0,-136.2,29.64,0.062,-3024.0,0.0,-0.024,2.09,50.81,0.0,0.0,-5.63,-85.78,0.0,820.4,12.51,0.0,0.0,-6.86,-2722.0,1081.0,22.39,-18.71,122.8,0.63,13428.0,13852.0,2443.0,424.2,-2.85,3852.0,-422.5,440.0,862.5,3859.0,-713.1,0.0,-7.09,2443.0,-0.72,1.14,-644.9,1417.0,0.0,0.21,0.0,0.0,21.21,0.0
2022Q4,968.1,57.89,0.072,130.5,-33.79,179.7,0.0,26.91,0.0,-105.9,33.35,0.19,-3367.0,0.0,0.53,-1.45,-28.13,0.0,0.0,-2.28,-52.68,0.0,306.9,-4.93,0.0,0.0,-0.88,-3425.0,1054.0,22.06,-57.2,86.43,0.062,12960.0,13428.0,3347.0,468.0,-14.71,4869.0,255.2,554.9,299.7,4870.0,-713.1,-1120.0,-6.61,3347.0,-0.062,-1.9,-698.3,1523.0,0.0,0.93,0.0,0.0,20.03,0.0
2022Q3,1110.0,595.3,0.19,427.3,27.62,102.5,0.0,-15.76,0.0,-66.15,33.7,0.1,-2658.0,0.0,0.38,-0.72,-8.98,0.0,0.0,0.78,21.22,0.0,-394.5,-0.18,0.0,0.0,-263.7,-2844.0,1031.0,21.98,-18.41,51.17,24.79,12532.0,12960.0,3167.0,428.2,-16.66,4127.0,551.7,114.1,-437.6,4391.0,-713.1,-1160.0,-6.45,3167.0,-0.2,0.32,-1304.0,1224.0,0.0,0.72,0.0,0.0,0.0,0.0
2022Q2,1100.0,1086.0,-0.37,5.45,-27.03,457.3,0.0,-40.24,0.0,-35.46,29.04,0.11,-2177.0,0.0,1.11,-0.34,-173.2,0.0,-8.72,3.42,93.72,0.0,-81.5,-4.92,0.0,0.0,-594.6,-2759.0,1110.0,21.84,-35.54,27.96,5.31,11516.0,12532.0,2660.0,1016.0,-32.22,3388.0,559.7,223.0,-336.7,3983.0,-713.1,0.0,-5.99,2660.0,-2.41,0.11,190.8,1323.0,0.0,9.83,0.0,0.0,5.0,7.91
2022Q1,1127.0,195.8,0.034,28.82,-11.32,526.6,0.0,12.29,0.0,-16.74,21.41,0.12,-2615.0,0.0,0.069,-13.61,-70.16,0.0,0.0,0.14,13.68,0.0,-152.6,1.34,0.0,0.0,-6.42,-2881.0,1089.0,21.68,-11.04,15.27,0.001,10650.0,11516.0,2268.0,866.0,-5.83,3722.0,544.2,333.0,-211.2,3728.0,-713.1,0.0,-5.23,2268.0,-0.001,0.48,-190.9,1460.0,0.0,5.37,0.0,0.0,0.0,0.0
2021Q4,1049.0,1571.0,0.12,360.1,8.61,735.3,0.0,-37.33,0.0,-14.63,21.74,0.025,-2354.0,0.0,0.58,-2.19,-108.7,0.0,0.0,-7.18,55.52,0.0,-112.8,1.44,0.0,0.0,-1.57,-2453.0,1086.0,20.74,-11.39,15.21,0.051,8538.0,10650.0,1848.0,2112.0,-33.63,3782.0,1144.0,886.6,-257.1,3784.0,-713.1,-18.62,-5.35,1848.0,-0.051,1.5,822.8,1935.0,0.0,1.75,0.0,0.0,0.0,0.0
2021Q3,1021.0,492.7,0.14,299.0,-39.25,647.5,0.0,-2.01,0.0,-13.57,13.34,-0.02,-1885.0,-94.52,2.58,0.89,-118.0,0.0,0.0,6.51,20.07,0.0,-88.34,-0.75,0.0,0.0,-293.7,-1770.0,1049.0,21.25,-16.49,14.3,19.41,7480.0,8538.0,1739.0,1058.0,-15.54,3187.0,973.0,720.9,-252.1,3481.0,-648.3,-180.9,-4.65,1739.0,-0.091,1.13,-353.2,1742.0,0.0,-0.42,0.0,0.0,3.0,0.0
2021Q2,989.9,1365.0,-0.34,115.5,-16.07,81.79,0.0,-13.85,0.0,-14.29,11.34,-0.028,-1669.0,94.52,0.29,-13.4,-158.7,0.0,0.0,-4.41,30.73,0.0,-103.3,-4.49,0.0,0.0,-535.7,-1698.0,1017.0,20.81,-2.74,15.46,3.83,6647.0,7480.0,1494.0,832.5,-35.43,1874.0,223.5,-73.64,-297.1,2410.0,-648.3,35.52,-4.53,1494.0,-1.79,0.21,750.3,916.2,0.0,0.32,0.0,0.0,5.5,0.0
2021Q1,940.7,184.8,-0.019,106.0,7.72,84.69,0.0,-29.17,0.0,-14.61,7.72,-0.005,-2480.0,0.0,0.87,1.57,-172.1,0.0,0.0,-1.63,-23.34,0.0,-216.6,2.23,0.0,0.0,-4.02,-2443.0,989.7,19.27,-7.73,14.94,1.69,6602.0,6647.0,1551.0,45.57,-5.81,2278.0,159.5,-209.2,-368.7,2282.0,-648.3,520.7,-5.33,1551.0,-1.69,-0.1,146.2,731.5,0.0,1.12,0.0,0.0,6.6,2.74
2020Q4,943.1,304.7,-0.092,94.12,-10.71,90.96,0.0,-10.43,0.0,-16.53,7.69,-0.005,-884.7,0.0,1.1,-0.82,-278.4,0.0,0.0,1.25,0.75,0.0,162.2,3.2,0.0,0.0,-4.65,-909.6,956.5,19.14,-1.56,18.09,1.91,6042.0,6602.0,1611.0,559.8,-8.38,2591.0,187.2,41.8,-145.4,2596.0,-648.3,-673.5,-4.6,1611.0,-1.85,-0.37,-1012.0,984.9,0.0,0.13,0.0,0.0,10.0,0.0
2020Q3,938.9,1357.0,0.28,81.72,10.76,-134.4,0.0,8.15,0.0,-18.98,3.73,0.04,-990.8,0.0,0.06,2.21,-237.2,0.0,0.0,5.5,8.08,0.0,-129.9,0.14,0.0,0.0,-183.5,-960.8,928.2,19.08,-4.29,20.07,26.57,4676.0,6042.0,1551.0,1366.0,-2.17,1902.0,-39.09,-404.9,-365.8,2085.0,-648.3,-168.0,-7.43,1551.0,-1.11,-1.46,474.3,534.0,0.0,0.17,0.0,0.0,10.0,0.1
2020Q2,635.3,359.6,-0.023,49.11,-12.52,83.08,0.0,-4.91,0.0,-24.78,4.09,-0.014,-1266.0,0.0,-0.001,2.96,-75.1,0.0,0.0,-0.58,-1.82,0.0,-27.15,-4.64,0.0,0.0,-311.6,-1298.0,689.8,18.94,-2.19,29.21,5.29,4308.0,4676.0,1364.0,368.4,-76.41,1703.0,129.8,15.75,-114.1,2015.0,-648.3,322.3,-7.3,1364.0,-2.31,0.29,59.12,651.0,0.0,-1.13,0.0,0.0,0.0,0.0
