本業獲利,2024Q3
營業收入,7597
營業成本,3203
營業毛利,4393
營業毛利淨額,4393
推銷費用,34.04
管理費用,228.9
研究發展費用,527.8
營業費用,790.8
其他收益及費損合計,5
營業利益,3608
利息收入,226
其他收入,0.41
其他利益及損失,18.53
財務成本,26.36
採用權益法認列之關聯企業及合資損益之份額,15.61
業外損益合計,234.2
稅前淨利,3842
所得稅費用,591.1
繼續營業單位稅後損益,3251
合併稅後淨利,3251
歸屬於非控制權益之淨利,-1.77
稅後淨利,3253
確定福利計畫之再衡量數,-
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-10.51
避險工具之損益–不重分類至損益,0.05
採用權益法認列之關聯企業及合資之其他綜合損益之份額–不重分類至損益,-0.38
與不重分類之項目相關之所得稅,0
不重分類至損益之項目合計,-10.83
國外營運機構財務報表換算之兌換差額,-253.8
避險工具之損益,-0.2
透過其他綜合損益按公允價值衡量之債務工具投資未實現評價損益,54.56
採用權益法認列之關聯企業及合資之其他綜合損益之份額–可能重分類至損益,-0.27
後續可能重分類至損益之項目合計,-199.7
其他綜合損益合計,-210.6
綜合損益,3040
綜合損益–歸屬於母公司,3021
綜合損益–歸屬於非控制權益,19.24
每股稅後盈餘(元),12.55
