本業獲利,2016Q4,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3
銷貨收入淨額,-,-,-,-,-,2125
營業收入,2622,2604,2218,2035,2035,2125
營業成本,1251,1284,1075,1121,1046,1102
營業毛利,1371,1320,1143,913.7,989.1,1023
未實現銷貨損益,0.29,-,0.07,-,-,-
已實現銷貨損益,-,0.12,-,-0.33,-0.007,0.19
營業毛利淨額,1371,1321,1143,913.4,989.2,1023
推銷費用,15.17,15.31,14.37,14.15,14.17,13.77
管理費用,56.99,55.85,46.67,38.45,41.31,42.97
研究發展費用,199.6,187.2,169,156.2,156.6,164.9
營業費用,271.8,258.4,230.1,208.8,212.1,221.6
其他收益及費損合計,-0.25,0.52,-0.056,0.087,2.51,-17.87
營業利益,1099,1063,913.2,704.7,779.6,783.9
其他收入,18.08,15.21,17.93,13.33,12.58,10.66
其他利益及損失,2.62,4.08,2.22,4.66,9.86,38.07
財務成本,8.11,8.23,8.21,8.51,8.2,7.93
採用權益法認列之關聯企業及合資損益之份額,8.81,8.81,8.92,8.41,12.56,9.26
業外損益合計,21.4,19.87,20.85,17.89,26.8,50.06
稅前淨利,1120,1082,934.1,722.6,806.4,833.9
所得稅費用,118.2,114.6,208.8,74.63,78.02,80.77
繼續營業單位稅後損益,1002,967.9,725.3,647.9,728.4,753.2
合併稅後淨利,1002,967.9,725.3,647.9,728.4,753.2
歸屬於非控制權益之淨利,0.28,0.3,0.22,0.11,0.049,-0.12
稅後淨利,1002,967.6,725.1,647.8,728.4,753.3
確定福利計畫之再衡量數,-10.57,-,-,-,-8.28,-
採用權益法認列之關聯企業及合資之其他綜合損益之份額–不重分類至損益,-0.2,-,-,-,-0.025,-
與不重分類之項目相關之所得稅,-1.27,-,-,-,-0.99,-
不重分類至損益之項目合計,-9.5,-,-,-,-7.31,-
國外營運機構財務報表換算之兌換差額,76.91,-101.2,-3.53,-65.93,-9.93,132.5
備供出售金融資產未實現評價損益,-7.73,0.59,-0.3,0.51,-0.34,-36.23
採用權益法認列之關聯企業及合資之其他綜合損益之份額–可能重分類至損益,0.19,-0.11,-0.18,0.26,-3.23,-3.54
與可能重分類之項目相關之所得稅,0.55,0.34,-0.1,-0.17,0.13,-0.16
後續可能重分類至損益之項目合計,68.82,-101.1,-3.91,-64.98,-13.63,92.84
其他綜合損益合計,59.32,-101.1,-3.91,-64.98,-20.94,92.84
綜合損益,1062,866.8,721.4,582.9,707.5,846
綜合損益–歸屬於母公司,1061,866.5,721.2,582.8,707.4,846.1
綜合損益–歸屬於非控制權益,0.27,0.27,0.2,0.1,0.063,-0.11
每股稅後盈餘(元),3.86,3.73,2.8,2.5,2.81,2.91
