本業獲利,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q
銷貨收入淨額,-,-,2225,2090,1830,-
營業收入,2054,2220,2225,2090,1830,1482
營業成本,1057,1126,1120,1035,918.3,778.4
營業毛利,997,1094,1105,1056,911.9,703.8
未實現銷貨損益,-0.01,0.2,-,-,-,-
已實現銷貨損益,-,-,0.15,-0.032,-0.044,0.21
營業毛利淨額,997,1094,1106,1056,911.9,704
推銷費用,14.79,13.91,13.76,13.23,12.35,11.53
管理費用,44.64,43.66,42.57,46.12,54.08,46.56
研究發展費用,166.1,167.8,159.4,152.1,136.1,120.7
營業費用,225.6,225.4,215.8,211.4,202.5,178.8
其他收益及費損合計,-0.81,-2.65,-7.67,-0.053,-2.27,-0.027
營業利益,770.7,866.3,882.2,844.3,707.1,525.2
其他收入,15.45,8.82,7.62,6.88,13.17,6.14
其他利益及損失,194.9,4.1,2.45,0.4,18.21,0.07
財務成本,7.83,7.94,8.22,8.16,8.01,7.97
採用權益法認列之關聯企業及合資損益之份額,8.16,11.35,9.1,10.37,10.48,9.56
業外損益合計,210.6,16.33,10.95,9.49,33.84,7.8
稅前淨利,981.3,882.6,893.1,853.8,740.9,533
所得稅費用,187.2,92.75,93.45,90.76,144.4,54.55
繼續營業單位稅後損益,794.1,789.8,799.7,763,596.6,478.4
合併稅後淨利,794.1,789.8,799.7,763,596.6,478.4
歸屬於非控制權益之淨利,-0.046,-0.06,-0.2,-0.31,-0.42,-0.25
稅後淨利,794.2,789.9,799.9,763.3,597,478.7
確定福利計畫之再衡量數,-,-,2.58,-,-,-
採用權益法認列之關聯企業及合資之其他綜合損益之份額–不重分類至損益,-,-,-0.16,-,-,-
與不重分類之項目相關之所得稅,-,-,0.32,-,-,-
不重分類至損益之項目合計,-,-,2.11,-,-,-
國外營運機構財務報表換算之兌換差額,-33.69,-22.79,85.81,34.11,-30.52,28.31
備供出售金融資產未實現評價損益,-166.3,-2.05,4.02,0.081,-0.31,-4.15
採用權益法認列之關聯企業及合資之其他綜合損益之份額–可能重分類至損益,-2.49,8.43,-0.93,-0.36,-0.013,-0.047
與可能重分類之項目相關之所得稅,0.13,0.048,-0.086,0.026,0.14,-0.03
後續可能重分類至損益之項目合計,-202.6,-16.46,88.98,33.8,-30.99,24.14
其他綜合損益合計,-202.6,-16.46,91.09,33.8,-30.99,24.14
綜合損益,591.5,773.4,890.7,796.8,565.6,502.6
綜合損益–歸屬於母公司,591.6,773.5,890.8,797.1,566,502.8
綜合損益–歸屬於非控制權益,-0.075,-0.13,-0.047,-0.3,-0.43,-0.24
每股稅後盈餘(元),3.06,3.05,3.09,2.94,2.3,1.85
